Player,Team,Salary,Year,Age,Pos,G,GS,MP,3P,3PA,2P,2PA,ORB,DRB,AST,STL,BLK,PF,PTS
154,Markieff Morris,WAS,8000000.0,2017.0,27.0,PF,76.0,76.0,2374.0,71.0,196.0,335.0,693.0,107.0,385.0,126.0,82.0,42.0,254.0,1063.0
155,Garrett Temple,SAC,8000000.0,2017.0,30.0,SG,65.0,21.0,1728.0,82.0,220.0,101.0,212.0,32.0,151.0,169.0,84.0,28.0,141.0,506.0
156,Vince Carter,SAC,8000000.0,2017.0,40.0,SF,73.0,15.0,1799.0,112.0,296.0,81.0,194.0,36.0,191.0,133.0,60.0,36.0,163.0,586.0
157,C.J. Miles,TOR,7936509.0,2017.0,29.0,SF,76.0,29.0,1776.0,169.0,409.0,112.0,238.0,30.0,199.0,48.0,46.0,25.0,151.0,815.0
158,Cristiano Felicio,CHI,7843500.0,2017.0,24.0,C,66.0,0.0,1040.0,0.0,0.0,128.0,222.0,124.0,187.0,40.0,25.0,16.0,110.0,316.0
159,Shaun Livingston,GSW,7692308.0,2017.0,31.0,PG,76.0,3.0,1345.0,1.0,3.0,172.0,313.0,28.0,123.0,139.0,38.0,20.0,120.0,389.0
160,Cory Joseph,IND,7630000.0,2017.0,25.0,SG,80.0,22.0,2003.0,48.0,135.0,251.0,526.0,51.0,184.0,265.0,66.0,13.0,140.0,740.0
161,P.J. Tucker,HOU,7590035.0,2017.0,31.0,SF,81.0,21.0,2236.0,70.0,196.0,129.0,286.0,117.0,355.0,99.0,116.0,19.0,196.0,540.0
162,P.J. Tucker,HOU,7590035.0,2017.0,31.0,SF,57.0,17.0,1627.0,46.0,136.0,101.0,218.0,94.0,249.0,73.0,85.0,14.0,143.0,401.0
163,P.J. Tucker,HOU,7590035.0,2017.0,31.0,SF,24.0,4.0,609.0,24.0,60.0,28.0,68.0,23.0,106.0,26.0,31.0,5.0,53.0,139.0
164,Corey Brewer,LAL,7579366.0,2017.0,30.0,SF,82.0,11.0,1281.0,27.0,118.0,120.0,230.0,32.0,134.0,97.0,61.0,19.0,133.0,371.0
165,Corey Brewer,LAL,7579366.0,2017.0,30.0,SF,58.0,8.0,923.0,22.0,94.0,72.0,133.0,21.0,93.0,61.0,37.0,11.0,104.0,242.0
166,Corey Brewer,LAL,7579366.0,2017.0,30.0,SF,24.0,3.0,358.0,5.0,24.0,48.0,97.0,11.0,41.0,36.0,24.0,8.0,29.0,129.0
167,Andrew Wiggins,MIN,7574322.0,2017.0,21.0,SF,82.0,82.0,3048.0,103.0,289.0,606.0,1281.0,103.0,226.0,189.0,82.0,30.0,183.0,1933.0
168,Darrell Arthur,DEN,7464912.0,2017.0,28.0,PF,41.0,7.0,639.0,53.0,117.0,42.0,98.0,25.0,87.0,42.0,19.0,21.0,76.0,262.0
169,Channing Frye,LAL,7420912.0,2017.0,33.0,C,74.0,15.0,1398.0,137.0,335.0,101.0,185.0,37.0,253.0,45.0,33.0,37.0,138.0,676.0
170,Trevor Ariza,HOU,7420912.0,2017.0,31.0,SF,80.0,80.0,2773.0,191.0,555.0,135.0,243.0,54.0,405.0,175.0,147.0,20.0,133.0,936.0
171,Al-Farouq Aminu,POR,7319035.0,2017.0,26.0,SF,61.0,25.0,1773.0,70.0,212.0,113.0,254.0,77.0,374.0,99.0,60.0,44.0,102.0,532.0
172,Cole Aldrich,MIN,7300000.0,2017.0,28.0,C,62.0,0.0,531.0,0.0,0.0,45.0,86.0,51.0,107.0,25.0,25.0,23.0,85.0,105.0
173,D.J. Augustin,ORL,7250000.0,2017.0,29.0,PG,78.0,20.0,1538.0,95.0,274.0,100.0,243.0,15.0,102.0,209.0,31.0,1.0,101.0,616.0
174,Markelle Fultz,PHI,7026240.0,,,,,,,,,,,,,,,,,
175,Lou Williams,LAC,7000000.0,2017.0,30.0,SG,81.0,1.0,1994.0,163.0,446.0,265.0,552.0,26.0,176.0,239.0,80.0,19.0,92.0,1421.0
176,Lou Williams,LAC,7000000.0,2017.0,30.0,SG,58.0,1.0,1403.0,122.0,317.0,204.0,417.0,14.0,118.0,183.0,65.0,10.0,67.0,1078.0
177,Lou Williams,LAC,7000000.0,2017.0,30.0,SG,23.0,0.0,591.0,41.0,129.0,61.0,135.0,12.0,58.0,56.0,15.0,9.0,25.0,343.0
178,Kyle Korver,CLE,7000000.0,2017.0,35.0,SG,67.0,22.0,1753.0,162.0,359.0,77.0,156.0,8.0,179.0,110.0,34.0,21.0,107.0,678.0
179,Kyle Korver,CLE,7000000.0,2017.0,35.0,SG,32.0,21.0,894.0,65.0,159.0,43.0,87.0,1.0,89.0,75.0,23.0,13.0,47.0,305.0
180,Kyle Korver,CLE,7000000.0,2017.0,35.0,SG,35.0,1.0,859.0,97.0,200.0,34.0,69.0,7.0,90.0,35.0,11.0,8.0,60.0,373.0
181,Jeremy Lamb,CHO,7000000.0,2017.0,24.0,SG,62.0,5.0,1143.0,41.0,146.0,185.0,345.0,30.0,234.0,75.0,27.0,23.0,98.0,603.0
182,Boban Marjanovic,LAC,7000000.0,2017.0,28.0,C,35.0,0.0,293.0,0.0,0.0,72.0,132.0,46.0,84.0,9.0,6.0,12.0,25.0,191.0
183,Jae Crowder,UTA,6796117.0,2017.0,26.0,SF,72.0,72.0,2335.0,157.0,394.0,176.0,326.0,48.0,367.0,155.0,72.0,23.0,161.0,999.0
184,Jabari Parker,MIL,6782392.0,2017.0,21.0,PF,51.0,50.0,1728.0,65.0,178.0,334.0,636.0,79.0,235.0,142.0,51.0,22.0,111.0,1025.0
185,Langston Galloway,DET,6666667.0,2017.0,25.0,PG,74.0,2.0,1495.0,120.0,308.0,87.0,237.0,27.0,129.0,93.0,46.0,6.0,96.0,585.0
186,Langston Galloway,DET,6666667.0,2017.0,25.0,PG,55.0,0.0,1120.0,101.0,268.0,64.0,173.0,20.0,101.0,65.0,40.0,5.0,76.0,471.0
187,Langston Galloway,DET,6666667.0,2017.0,25.0,PG,19.0,2.0,375.0,19.0,40.0,23.0,64.0,7.0,28.0,28.0,6.0,1.0,20.0,114.0
188,Lance Thomas,NYK,6655325.0,2017.0,28.0,PF,46.0,15.0,968.0,38.0,85.0,59.0,159.0,32.0,110.0,35.0,21.0,5.0,85.0,275.0
189,Ed Davis,POR,6352531.0,2017.0,27.0,PF,46.0,12.0,789.0,0.0,0.0,75.0,142.0,96.0,147.0,27.0,15.0,22.0,137.0,200.0
190,Marco Belinelli,ATL,6306060.0,2017.0,30.0,SG,74.0,0.0,1778.0,102.0,283.0,162.0,332.0,14.0,164.0,147.0,44.0,9.0,90.0,780.0
191,Jonathon Simmons,ORL,6300000.0,2017.0,27.0,SG,78.0,8.0,1392.0,30.0,102.0,147.0,319.0,20.0,140.0,126.0,47.0,25.0,146.0,483.0
192,Lonzo Ball,LAL,6286560.0,,,,,,,,,,,,,,,,,
193,Wayne Ellington,MIA,6270000.0,2017.0,29.0,SG,62.0,13.0,1500.0,149.0,394.0,82.0,161.0,18.0,115.0,70.0,35.0,4.0,70.0,648.0
194,Isaiah Thomas,LAL,6261395.0,2017.0,27.0,PG,76.0,76.0,2569.0,245.0,646.0,437.0,827.0,43.0,162.0,449.0,70.0,13.0,167.0,2199.0
195,Karl-Anthony Towns,MIN,6216840.0,2017.0,21.0,C,82.0,82.0,3030.0,101.0,275.0,701.0,1204.0,296.0,711.0,220.0,57.0,103.0,241.0,2061.0
196,Ben Simmons,PHI,6168840.0,,,,,,,,,,,,,,,,,
197,Joel Embiid,PHI,6100266.0,2017.0,22.0,C,31.0,31.0,786.0,36.0,98.0,164.0,331.0,61.0,182.0,66.0,27.0,76.0,112.0,627.0
198,Spencer Hawes,MIL,6021175.0,2017.0,28.0,PF,54.0,1.0,797.0,25.0,81.0,109.0,196.0,38.0,153.0,81.0,15.0,30.0,77.0,337.0
199,Spencer Hawes,MIL,6021175.0,2017.0,28.0,PF,35.0,1.0,626.0,16.0,55.0,88.0,163.0,32.0,114.0,62.0,13.0,26.0,61.0,254.0
200,Spencer Hawes,MIL,6021175.0,2017.0,28.0,PF,19.0,0.0,171.0,9.0,26.0,21.0,33.0,6.0,39.0,19.0,2.0,4.0,16.0,83.0
201,Josh McRoberts,DAL,6021175.0,2017.0,29.0,PF,22.0,14.0,381.0,13.0,31.0,31.0,87.0,23.0,51.0,50.0,10.0,4.0,31.0,107.0
202,Ish Smith,DET,6000000.0,2017.0,28.0,PG,81.0,32.0,1955.0,28.0,105.0,301.0,644.0,21.0,214.0,418.0,61.0,33.0,127.0,758.0
203,Alan Williams,PHO,6000000.0,2017.0,24.0,C,47.0,0.0,708.0,0.0,1.0,138.0,266.0,94.0,198.0,23.0,27.0,32.0,125.0,346.0
204,Shelvin Mack,ORL,6000000.0,2017.0,26.0,PG,55.0,9.0,1205.0,37.0,120.0,133.0,261.0,20.0,108.0,154.0,42.0,3.0,100.0,430.0
205,Milos Teodosic,LAC,6000000.0,,,,,,,,,,,,,,,,,
206,Ersan Ilyasova,ATL,6000000.0,2017.0,29.0,PF,82.0,52.0,2142.0,142.0,402.0,242.0,488.0,115.0,366.0,141.0,58.0,23.0,211.0,1071.0
207,Ersan Ilyasova,ATL,6000000.0,2017.0,29.0,PF,3.0,0.0,62.0,3.0,12.0,3.0,4.0,2.0,14.0,1.0,3.0,1.0,5.0,15.0
208,Ersan Ilyasova,ATL,6000000.0,2017.0,29.0,PF,53.0,40.0,1447.0,107.0,298.0,178.0,350.0,71.0,243.0,97.0,33.0,14.0,133.0,786.0
209,Ersan Ilyasova,ATL,6000000.0,2017.0,29.0,PF,26.0,12.0,633.0,32.0,92.0,61.0,134.0,42.0,109.0,43.0,22.0,8.0,73.0,270.0
210,Dewayne Dedmon,ATL,6000000.0,2017.0,27.0,C,76.0,37.0,1330.0,0.0,0.0,161.0,259.0,129.0,366.0,44.0,37.0,61.0,180.0,387.0
211,Tyler Johnson,MIA,5881260.0,2017.0,24.0,PG,73.0,0.0,2178.0,93.0,250.0,264.0,574.0,50.0,243.0,233.0,84.0,44.0,176.0,1002.0
212,Wesley Johnson,LAC,5881260.0,2017.0,29.0,SF,68.0,3.0,810.0,29.0,118.0,44.0,82.0,26.0,155.0,23.0,29.0,30.0,83.0,186.0
213,Alex Abrines,OKC,5725000.0,2017.0,23.0,SG,68.0,6.0,1055.0,94.0,247.0,40.0,94.0,18.0,68.0,40.0,37.0,8.0,114.0,406.0
214,Jayson Tatum,BOS,5645400.0,,,,,,,,,,,,,,,,,
215,D'Angelo Russell,BRK,5562360.0,2017.0,20.0,PG,63.0,60.0,1811.0,135.0,384.0,216.0,483.0,31.0,191.0,303.0,87.0,16.0,130.0,984.0
216,Brandon Ingram,LAL,5519400.0,2017.0,19.0,SF,79.0,40.0,2279.0,55.0,187.0,221.0,499.0,60.0,257.0,166.0,50.0,36.0,158.0,740.0
217,Patrick Beverley,LAC,5513514.0,2017.0,28.0,SG,67.0,67.0,2058.0,110.0,288.0,118.0,255.0,95.0,299.0,281.0,99.0,25.0,222.0,639.0
218,Aaron Gordon,ORL,5504420.0,2017.0,21.0,SF,80.0,72.0,2298.0,77.0,267.0,316.0,598.0,116.0,289.0,150.0,64.0,40.0,172.0,1019.0
219,Deron Williams,BRK,5500000.0,2017.0,32.0,PG,64.0,44.0,1657.0,85.0,234.0,178.0,366.0,14.0,133.0,360.0,31.0,8.0,138.0,701.0
220,Deron Williams,BRK,5500000.0,2017.0,32.0,PG,40.0,40.0,1171.0,63.0,181.0,132.0,272.0,13.0,89.0,274.0,25.0,2.0,96.0,522.0
221,Deron Williams,BRK,5500000.0,2017.0,32.0,PG,24.0,4.0,486.0,22.0,53.0,46.0,94.0,1.0,44.0,86.0,6.0,6.0,42.0,179.0
222,Josh Smith,DET,5400000.0,,,,,,,,,,,,,,,,,
223,Thabo Sefolosha,UTA,5250000.0,2017.0,32.0,SF,62.0,42.0,1596.0,41.0,120.0,133.0,275.0,54.0,216.0,107.0,96.0,31.0,97.0,444.0
224,Jason Smith,WAS,5225000.0,2017.0,30.0,C,74.0,3.0,1068.0,37.0,78.0,137.0,251.0,64.0,194.0,37.0,21.0,55.0,168.0,420.0
225,Ben McLemore,MEM,5200000.0,2017.0,23.0,SG,61.0,26.0,1176.0,65.0,170.0,115.0,249.0,19.0,111.0,51.0,29.0,6.0,108.0,495.0
226,Patrick Patterson,OKC,5192000.0,2017.0,27.0,PF,65.0,8.0,1599.0,94.0,253.0,60.0,131.0,62.0,229.0,76.0,40.0,23.0,120.0,445.0
227,Nick Young,GSW,5192000.0,2017.0,31.0,SG,60.0,60.0,1556.0,170.0,421.0,102.0,212.0,25.0,112.0,58.0,37.0,14.0,137.0,791.0
228,Brandan Wright,MEM,5179760.0,2017.0,29.0,PF,28.0,5.0,447.0,0.0,1.0,83.0,134.0,31.0,47.0,15.0,11.0,20.0,42.0,189.0
229,Josh Jackson,PHO,5090040.0,,,,,,,,,,,,,,,,,
230,Marcus Morris,BOS,5000000.0,2017.0,27.0,SF,79.0,79.0,2565.0,118.0,357.0,303.0,650.0,77.0,289.0,160.0,52.0,25.0,168.0,1105.0
231,Dirk Nowitzki,DAL,5000000.0,2017.0,38.0,PF,54.0,54.0,1424.0,79.0,209.0,217.0,469.0,23.0,330.0,82.0,30.0,38.0,113.0,769.0
232,Greg Monroe,BOS,5000000.0,2017.0,26.0,C,81.0,0.0,1823.0,0.0,4.0,387.0,722.0,167.0,365.0,187.0,92.0,38.0,168.0,951.0
233,Mike Muscala,ATL,5000000.0,2017.0,25.0,C,70.0,3.0,1237.0,46.0,110.0,124.0,227.0,76.0,164.0,95.0,30.0,41.0,97.0,435.0
234,Jahlil Okafor,BRK,4995120.0,2017.0,21.0,C,50.0,33.0,1134.0,0.0,0.0,242.0,471.0,81.0,159.0,58.0,20.0,49.0,122.0,590.0
235,Dante Exum,UTA,4992385.0,2017.0,21.0,PG,66.0,26.0,1228.0,44.0,149.0,111.0,214.0,30.0,102.0,112.0,21.0,12.0,146.0,412.0
236,Alexis Ajinca,NOP,4961798.0,2017.0,28.0,C,39.0,15.0,584.0,0.0,4.0,89.0,174.0,46.0,131.0,12.0,20.0,22.0,77.0,207.0
237,Jaylen Brown,BOS,4956480.0,2017.0,20.0,SF,78.0,20.0,1341.0,46.0,135.0,146.0,288.0,45.0,175.0,64.0,35.0,18.0,142.0,515.0
238,Jameer Nelson,DEN,4736050.0,2017.0,34.0,PG,75.0,39.0,2045.0,106.0,273.0,162.0,331.0,28.0,164.0,385.0,53.0,8.0,197.0,687.0
239,Kyle Singler,OKC,4666500.0,2017.0,28.0,SF,32.0,2.0,385.0,7.0,37.0,27.0,46.0,8.0,40.0,9.0,7.0,5.0,29.0,88.0
240,Justin Holiday,CHI,4615385.0,2017.0,27.0,SG,82.0,4.0,1639.0,97.0,273.0,136.0,265.0,27.0,198.0,102.0,65.0,31.0,109.0,629.0
241,De'Aaron Fox,SAC,4609200.0,,,,,,,,,,,,,,,,,
242,Marcus Smart,BOS,4538020.0,2017.0,22.0,SG,79.0,24.0,2399.0,94.0,332.0,175.0,417.0,78.0,228.0,364.0,125.0,34.0,192.0,835.0
243,Kristaps Porzingis,NYK,4503600.0,2017.0,21.0,PF,66.0,65.0,2164.0,112.0,314.0,331.0,671.0,111.0,364.0,97.0,47.0,130.0,244.0,1196.0
244,Dragan Bender,PHO,4468800.0,2017.0,19.0,PF,43.0,0.0,574.0,28.0,101.0,29.0,60.0,23.0,80.0,23.0,10.0,22.0,74.0,146.0
245,Devin Harris,DEN,4402546.0,2017.0,33.0,PG,65.0,0.0,1087.0,58.0,177.0,78.0,164.0,11.0,116.0,136.0,43.0,7.0,101.0,437.0
246,Ron Baker,NYK,4328000.0,2017.0,23.0,SG,52.0,13.0,857.0,23.0,86.0,59.0,131.0,12.0,86.0,107.0,34.0,8.0,74.0,215.0
247,Jamal Crawford,MIN,4328000.0,2017.0,36.0,SG,82.0,1.0,2157.0,116.0,322.0,243.0,547.0,17.0,112.0,213.0,59.0,14.0,115.0,1008.0
248,Aron Baynes,BOS,4328000.0,2017.0,30.0,C,75.0,2.0,1163.0,0.0,0.0,143.0,279.0,111.0,222.0,32.0,17.0,39.0,166.0,365.0
249,Alex Len,PHO,4187599.0,2017.0,23.0,C,77.0,34.0,1560.0,3.0,12.0,227.0,451.0,156.0,354.0,44.0,37.0,98.0,242.0,613.0
250,Nerlens Noel,DAL,4187599.0,2017.0,22.0,C,51.0,19.0,1047.0,0.0,1.0,184.0,308.0,93.0,201.0,50.0,65.0,51.0,126.0,445.0
251,Nerlens Noel,DAL,4187599.0,2017.0,22.0,C,29.0,7.0,564.0,0.0,1.0,107.0,174.0,46.0,98.0,30.0,43.0,26.0,71.0,257.0
252,Nerlens Noel,DAL,4187599.0,2017.0,22.0,C,22.0,12.0,483.0,0.0,0.0,77.0,134.0,47.0,103.0,20.0,22.0,25.0,55.0,188.0
253,Jonathan Isaac,ORL,4186320.0,,,,,,,,,,,,,,,,,
254,Lance Stephenson,IND,4180000.0,2017.0,26.0,SG,18.0,0.0,361.0,6.0,20.0,48.0,100.0,4.0,48.0,59.0,5.0,3.0,32.0,122.0
255,Lance Stephenson,IND,4180000.0,2017.0,26.0,SG,6.0,0.0,162.0,1.0,10.0,25.0,45.0,3.0,15.0,29.0,2.0,1.0,18.0,58.0
256,Lance Stephenson,IND,4180000.0,2017.0,26.0,SG,6.0,0.0,67.0,0.0,2.0,10.0,19.0,0.0,10.0,5.0,0.0,0.0,2.0,21.0
257,Lance Stephenson,IND,4180000.0,2017.0,26.0,SG,6.0,0.0,132.0,5.0,8.0,13.0,36.0,1.0,23.0,25.0,3.0,2.0,12.0,43.0
258,Julius Randle,LAL,4149242.0,2017.0,22.0,PF,74.0,73.0,2132.0,17.0,63.0,360.0,710.0,151.0,485.0,264.0,49.0,37.0,248.0,975.0
259,Kyle O'Quinn,NYK,4087500.0,2017.0,26.0,C,79.0,8.0,1229.0,2.0,17.0,213.0,396.0,157.0,282.0,117.0,36.0,104.0,174.0,496.0
260,Mario Hezonja,ORL,4078320.0,2017.0,21.0,SF,65.0,2.0,960.0,43.0,144.0,74.0,186.0,20.0,126.0,62.0,30.0,14.0,74.0,317.0
261,Kris Dunn,CHI,4046760.0,2017.0,22.0,PG,78.0,7.0,1333.0,21.0,73.0,97.0,240.0,24.0,142.0,188.0,78.0,36.0,178.0,293.0
262,Jonas Jerebko,UTA,4000000.0,2017.0,29.0,PF,78.0,6.0,1232.0,45.0,130.0,69.0,132.0,60.0,213.0,71.0,26.0,17.0,122.0,299.0
263,Nemanja Bjelica,MIN,3949999.0,2017.0,28.0,PF,65.0,1.0,1190.0,56.0,177.0,95.0,179.0,57.0,187.0,79.0,40.0,20.0,154.0,403.0
264,J.J. Barea,DAL,3903900.0,2017.0,32.0,PG,35.0,6.0,771.0,53.0,148.0,89.0,195.0,9.0,75.0,193.0,14.0,1.0,30.0,381.0
265,Quincy Pondexter,CHI,3853931.0,,,,,,,,,,,,,,,,,
266,Lauri Markkanen,CHI,3821640.0,,,,,,,,,,,,,,,,,
267,Nik Stauskas,BRK,3807146.0,2017.0,23.0,SG,80.0,27.0,2188.0,132.0,359.0,119.0,275.0,21.0,205.0,188.0,45.0,32.0,144.0,756.0
268,Willie Cauley-Stein,SAC,3704160.0,2017.0,23.0,C,75.0,21.0,1421.0,0.0,2.0,255.0,479.0,85.0,255.0,80.0,53.0,45.0,147.0,611.0
269,Buddy Hield,SAC,3675480.0,2017.0,23.0,SG,82.0,55.0,1888.0,148.0,379.0,179.0,389.0,35.0,234.0,121.0,38.0,9.0,115.0,866.0
270,Buddy Hield,SAC,3675480.0,2017.0,23.0,SG,57.0,37.0,1161.0,89.0,241.0,96.0,231.0,19.0,147.0,77.0,18.0,7.0,81.0,488.0
271,Buddy Hield,SAC,3675480.0,2017.0,23.0,SG,25.0,18.0,727.0,59.0,138.0,83.0,158.0,16.0,87.0,44.0,20.0,2.0,34.0,378.0
272,Will Barton,DEN,3533333.0,2017.0,26.0,SG,60.0,19.0,1705.0,87.0,235.0,208.0,431.0,58.0,200.0,206.0,48.0,28.0,110.0,820.0
273,Noah Vonleh,CHI,3505233.0,2017.0,21.0,PF,74.0,41.0,1265.0,7.0,20.0,123.0,250.0,131.0,256.0,31.0,30.0,27.0,154.0,327.0
274,Frank Ntilikina,NYK,3501120.0,,,,,,,,,,,,,,,,,
275,Nene Hilario,HOU,3477600.0,2017.0,34.0,C,67.0,8.0,1198.0,3.0,9.0,242.0,388.0,95.0,186.0,65.0,56.0,40.0,163.0,609.0
276,Zaza Pachulia,GSW,3477600.0,2017.0,32.0,C,70.0,70.0,1268.0,0.0,2.0,164.0,305.0,140.0,270.0,132.0,59.0,33.0,166.0,426.0
277,Troy Daniels,PHO,3408520.0,2017.0,25.0,SG,67.0,3.0,1183.0,138.0,355.0,47.0,140.0,21.0,79.0,46.0,21.0,4.0,90.0,551.0
278,Emmanuel Mudiay,NYK,3381480.0,2017.0,20.0,PG,55.0,41.0,1406.0,56.0,178.0,152.0,373.0,29.0,149.0,217.0,41.0,13.0,95.0,603.0
279,Jamal Murray,DEN,3355320.0,2017.0,19.0,SG,82.0,10.0,1764.0,115.0,344.0,180.0,386.0,41.0,173.0,170.0,52.0,24.0,124.0,811.0
280,Elfrid Payton,PHO,3332340.0,2017.0,22.0,PG,82.0,58.0,2412.0,40.0,146.0,390.0,766.0,89.0,298.0,529.0,88.0,40.0,177.0,1046.0
281,Rajon Rondo,NOP,3300000.0,2017.0,30.0,PG,69.0,42.0,1843.0,50.0,133.0,179.0,428.0,73.0,282.0,461.0,99.0,11.0,144.0,538.0
282,Doug McDermott,DAL,3294994.0,2017.0,25.0,SF,66.0,5.0,1508.0,77.0,207.0,145.0,290.0,20.0,159.0,58.0,13.0,5.0,79.0,592.0
283,Doug McDermott,DAL,3294994.0,2017.0,25.0,SF,44.0,4.0,1078.0,56.0,149.0,110.0,224.0,14.0,116.0,45.0,11.0,4.0,57.0,447.0
284,Doug McDermott,DAL,3294994.0,2017.0,25.0,SF,22.0,1.0,430.0,21.0,58.0,35.0,66.0,6.0,43.0,13.0,2.0,1.0,22.0,145.0
285,Jodie Meeks,WAS,3290000.0,2017.0,29.0,SG,36.0,10.0,738.0,56.0,137.0,47.0,119.0,5.0,72.0,45.0,34.0,4.0,41.0,327.0
286,Tyreke Evans,MEM,3290000.0,2017.0,27.0,SF,40.0,6.0,788.0,42.0,118.0,108.0,252.0,13.0,124.0,124.0,35.0,9.0,60.0,411.0
287,Tyreke Evans,MEM,3290000.0,2017.0,27.0,SF,26.0,0.0,474.0,21.0,70.0,70.0,157.0,6.0,80.0,91.0,23.0,4.0,41.0,248.0
288,Tyreke Evans,MEM,3290000.0,2017.0,27.0,SF,14.0,6.0,314.0,21.0,48.0,38.0,95.0,7.0,44.0,33.0,12.0,5.0,19.0,163.0
289,Tarik Black,HOU,3290000.0,2017.0,25.0,C,67.0,16.0,1091.0,1.0,2.0,149.0,292.0,143.0,199.0,39.0,30.0,44.0,173.0,383.0
290,Anthony Tolliver,DET,3290000.0,2017.0,31.0,PF,65.0,9.0,1477.0,90.0,230.0,65.0,121.0,51.0,188.0,77.0,33.0,20.0,109.0,461.0
291,Dennis Smith,DAL,3218280.0,,,,,,,,,,,,,,,,,
292,Zach LaVine,CHI,3202217.0,2017.0,21.0,SG,47.0,47.0,1749.0,120.0,310.0,206.0,400.0,18.0,141.0,139.0,41.0,10.0,104.0,889.0
293,Ekpe Udoh,UTA,3200000.0,,,,,,,,,,,,,,,,,
294,T.J. Warren,PHO,3152931.0,2017.0,23.0,SF,66.0,59.0,2048.0,26.0,98.0,377.0,716.0,125.0,214.0,75.0,76.0,39.0,175.0,951.0
295,Stanley Johnson,DET,3097800.0,2017.0,20.0,SF,77.0,1.0,1371.0,45.0,154.0,84.0,211.0,36.0,153.0,105.0,56.0,24.0,121.0,339.0
296,Marquese Chriss,PHO,3073800.0,2017.0,19.0,PF,82.0,75.0,1743.0,72.0,224.0,212.0,408.0,96.0,252.0,60.0,67.0,70.0,263.0,753.0
297,Zach Collins,POR,3057240.0,,,,,,,,,,,,,,,,,
298,James Ennis,DET,3028410.0,2017.0,26.0,SF,64.0,28.0,1501.0,51.0,137.0,95.0,184.0,69.0,190.0,64.0,46.0,19.0,165.0,429.0
299,Seth Curry,DAL,3028410.0,2017.0,26.0,PG,70.0,42.0,2029.0,137.0,322.0,201.0,381.0,25.0,153.0,188.0,79.0,7.0,126.0,898.0
300,Mindaugas Kuzminskas,NYK,3025035.0,2017.0,27.0,SF,68.0,5.0,1016.0,54.0,168.0,104.0,201.0,47.0,79.0,69.0,29.0,11.0,79.0,425.0
301,Tomas Satoransky,WAS,3000000.0,2017.0,25.0,SG,57.0,3.0,719.0,9.0,37.0,52.0,109.0,25.0,58.0,92.0,26.0,6.0,60.0,154.0
302,Rajon Rondo,CHI,3000000.0,2017.0,30.0,PG,69.0,42.0,1843.0,50.0,133.0,179.0,428.0,73.0,282.0,461.0,99.0,11.0,144.0,538.0
303,Lucas Nogueira,TOR,2947305.0,2017.0,24.0,C,57.0,6.0,1088.0,3.0,12.0,100.0,144.0,82.0,161.0,42.0,52.0,90.0,137.0,253.0
304,Jusuf Nurkic,POR,2947305.0,2017.0,22.0,C,65.0,48.0,1391.0,0.0,1.0,271.0,533.0,154.0,313.0,123.0,50.0,74.0,161.0,662.0
305,Jusuf Nurkic,POR,2947305.0,2017.0,22.0,C,45.0,29.0,807.0,0.0,0.0,151.0,298.0,89.0,171.0,60.0,25.0,36.0,88.0,358.0
306,Jusuf Nurkic,POR,2947305.0,2017.0,22.0,C,20.0,19.0,584.0,0.0,1.0,120.0,235.0,65.0,142.0,63.0,25.0,38.0,73.0,304.0
307,Malik Monk,CHO,2904480.0,,,,,,,,,,,,,,,,,
308,Frank Kaminsky,CHO,2847600.0,2017.0,23.0,C,75.0,16.0,1954.0,116.0,354.0,204.0,448.0,57.0,279.0,162.0,47.0,34.0,139.0,874.0
309,Andrew Nicholson,POR,2844429.0,2017.0,27.0,PF,38.0,0.0,342.0,5.0,27.0,38.0,84.0,15.0,46.0,10.0,16.0,6.0,55.0,100.0
310,Andrew Nicholson,POR,2844429.0,2017.0,27.0,PF,28.0,0.0,231.0,3.0,16.0,27.0,61.0,11.0,23.0,7.0,11.0,6.0,37.0,70.0
311,Andrew Nicholson,POR,2844429.0,2017.0,27.0,PF,10.0,0.0,111.0,2.0,11.0,11.0,23.0,4.0,23.0,3.0,5.0,0.0,18.0,30.0
312,Jakob Poeltl,TOR,2825640.0,2017.0,21.0,C,54.0,4.0,626.0,0.0,0.0,67.0,115.0,78.0,87.0,12.0,17.0,20.0,113.0,165.0
313,Luke Kennard,DET,2759280.0,,,,,,,,,,,,,,,,,
314,Justise Winslow,MIA,2705040.0,2017.0,20.0,SF,18.0,15.0,625.0,7.0,35.0,73.0,190.0,23.0,71.0,66.0,27.0,6.0,52.0,196.0
315,Michael Carter-Williams,CHO,2700000.0,2017.0,25.0,PG,45.0,19.0,846.0,15.0,64.0,97.0,242.0,24.0,128.0,113.0,38.0,23.0,102.0,297.0
316,Thon Maker,MIL,2684160.0,2017.0,19.0,C,57.0,34.0,562.0,28.0,74.0,55.0,107.0,40.0,74.0,23.0,10.0,26.0,84.0,226.0
317,Cedi Osman,CLE,2642857.0,,,,,,,,,,,,,,,,,
318,Donovan Mitchell,UTA,2621280.0,,,,,,,,,,,,,,,,,
319,Myles Turner,IND,2569920.0,2017.0,20.0,C,81.0,81.0,2541.0,40.0,115.0,404.0,754.0,139.0,448.0,106.0,74.0,173.0,262.0,1173.0
320,Gary Harris,DEN,2550055.0,2017.0,22.0,SG,57.0,56.0,1782.0,107.0,255.0,213.0,382.0,48.0,130.0,164.0,71.0,8.0,92.0,851.0
