Player,Team,Salary,Year,Age,Pos,G,GS,MP,3P,3PA,2P,2PA,ORB,DRB,AST,STL,BLK,PF,PTS
35,LaMarcus Aldridge,SAS,21461010.0,2017.0,31.0,PF,72.0,72.0,2335.0,23.0,56.0,477.0,993.0,174.0,350.0,139.0,46.0,89.0,158.0,1243.0
36,Victor Oladipo,IND,21000000.0,2017.0,24.0,SG,67.0,67.0,2222.0,127.0,352.0,285.0,580.0,39.0,252.0,176.0,78.0,21.0,155.0,1067.0
37,Enes Kanter,NYK,20566802.0,2017.0,24.0,C,72.0,0.0,1533.0,5.0,38.0,397.0,699.0,195.0,287.0,67.0,32.0,38.0,154.0,1033.0
38,Danilo Gallinari,LAC,20559599.0,2017.0,28.0,SF,63.0,63.0,2134.0,126.0,324.0,209.0,426.0,39.0,287.0,135.0,40.0,15.0,93.0,1145.0
39,Serge Ibaka,TOR,20061729.0,2017.0,27.0,PF,79.0,79.0,2422.0,124.0,317.0,347.0,665.0,129.0,409.0,75.0,41.0,124.0,215.0,1173.0
40,Serge Ibaka,TOR,20061729.0,2017.0,27.0,PF,56.0,56.0,1710.0,83.0,214.0,260.0,489.0,100.0,282.0,60.0,34.0,91.0,139.0,846.0
41,Serge Ibaka,TOR,20061729.0,2017.0,27.0,PF,23.0,23.0,712.0,41.0,103.0,87.0,176.0,29.0,127.0,15.0,7.0,33.0,76.0,327.0
42,George Hill,CLE,20000000.0,2017.0,30.0,PG,49.0,49.0,1544.0,94.0,233.0,195.0,373.0,23.0,144.0,203.0,50.0,11.0,114.0,829.0
43,Ryan Anderson,HOU,19578455.0,2017.0,28.0,PF,72.0,72.0,2116.0,204.0,506.0,119.0,267.0,112.0,218.0,68.0,32.0,14.0,142.0,979.0
44,Paul George,OKC,19508958.0,2017.0,26.0,SF,75.0,75.0,2689.0,195.0,496.0,427.0,853.0,58.0,434.0,251.0,117.0,27.0,206.0,1775.0
45,Allen Crabbe,BRK,19332500.0,2017.0,24.0,SG,79.0,7.0,2254.0,134.0,302.0,169.0,345.0,19.0,206.0,93.0,54.0,20.0,171.0,845.0
46,Jimmy Butler,MIN,19301070.0,2017.0,27.0,SF,76.0,75.0,2809.0,91.0,248.0,479.0,1004.0,129.0,341.0,417.0,143.0,32.0,112.0,1816.0
47,Jeff Teague,MIN,19000000.0,2017.0,28.0,PG,82.0,82.0,2657.0,90.0,252.0,312.0,657.0,33.0,298.0,639.0,100.0,32.0,165.0,1254.0
48,Kawhi Leonard,SAS,18868625.0,2017.0,25.0,SF,74.0,74.0,2474.0,147.0,386.0,489.0,925.0,80.0,350.0,260.0,132.0,55.0,122.0,1888.0
49,Kyrie Irving,BOS,18868625.0,2017.0,24.0,PG,72.0,72.0,2525.0,177.0,441.0,494.0,979.0,52.0,178.0,418.0,83.0,25.0,157.0,1816.0
50,John Wall,WAS,18063850.0,2017.0,26.0,PG,78.0,78.0,2836.0,89.0,272.0,558.0,1163.0,58.0,268.0,831.0,157.0,49.0,151.0,1805.0
51,DeMarcus Cousins,NOP,18063850.0,2017.0,26.0,C,72.0,72.0,2465.0,131.0,364.0,516.0,1069.0,153.0,644.0,332.0,100.0,92.0,278.0,1942.0
52,DeMarcus Cousins,NOP,18063850.0,2017.0,26.0,C,55.0,55.0,1891.0,95.0,268.0,410.0,851.0,115.0,470.0,266.0,75.0,73.0,203.0,1528.0
53,DeMarcus Cousins,NOP,18063850.0,2017.0,26.0,C,17.0,17.0,574.0,36.0,96.0,106.0,218.0,38.0,174.0,66.0,25.0,19.0,75.0,414.0
54,Greg Monroe,PHO,17884176.0,2017.0,26.0,C,81.0,0.0,1823.0,0.0,4.0,387.0,722.0,167.0,365.0,187.0,92.0,38.0,168.0,951.0
55,Wesley Matthews,DAL,17884176.0,2017.0,30.0,SG,73.0,73.0,2495.0,174.0,479.0,159.0,368.0,18.0,241.0,210.0,77.0,16.0,161.0,986.0
56,Klay Thompson,GSW,17826150.0,2017.0,26.0,SG,78.0,78.0,2649.0,268.0,647.0,376.0,729.0,49.0,236.0,160.0,66.0,40.0,139.0,1742.0
57,Joakim Noah,NYK,17765000.0,2017.0,31.0,C,46.0,46.0,1015.0,0.0,1.0,99.0,200.0,161.0,241.0,103.0,30.0,37.0,127.0,232.0
58,Kentavious Caldwell-Pope,LAL,17745894.0,2017.0,23.0,SG,76.0,75.0,2529.0,153.0,437.0,217.0,491.0,55.0,193.0,193.0,89.0,12.0,118.0,1047.0
59,Luol Deng,LAL,17190000.0,2017.0,31.0,SF,56.0,49.0,1486.0,51.0,165.0,113.0,259.0,63.0,232.0,74.0,48.0,20.0,61.0,425.0
60,Evan Turner,POR,17131148.0,2017.0,28.0,SF,65.0,12.0,1658.0,31.0,118.0,204.0,434.0,36.0,211.0,205.0,53.0,24.0,121.0,586.0
61,Goran Dragic,MIA,17000450.0,2017.0,30.0,PG,73.0,73.0,2459.0,117.0,289.0,417.0,835.0,61.0,217.0,423.0,89.0,13.0,199.0,1483.0
62,Evan Fournier,ORL,17000000.0,2017.0,24.0,SG,68.0,66.0,2234.0,128.0,360.0,280.0,570.0,44.0,165.0,202.0,66.0,4.0,180.0,1167.0
63,Bismack Biyombo,ORL,17000000.0,2017.0,24.0,C,81.0,27.0,1793.0,0.0,0.0,179.0,339.0,157.0,410.0,74.0,25.0,91.0,202.0,483.0
64,Kent Bazemore,ATL,16910113.0,2017.0,27.0,SF,73.0,64.0,1963.0,92.0,266.0,203.0,455.0,45.0,186.0,177.0,91.0,52.0,165.0,801.0
65,Robert Covington,PHI,16698103.0,2017.0,26.0,SF,67.0,67.0,2119.0,137.0,412.0,155.0,320.0,92.0,344.0,102.0,127.0,69.0,203.0,864.0
66,Ian Mahinmi,WAS,16661641.0,2017.0,30.0,C,31.0,0.0,555.0,0.0,0.0,65.0,111.0,47.0,103.0,19.0,33.0,24.0,90.0,173.0
67,Tim Hardaway,NYK,16500000.0,2017.0,24.0,SG,79.0,30.0,2154.0,149.0,417.0,266.0,495.0,35.0,189.0,182.0,55.0,15.0,103.0,1143.0
68,Draymond Green,GSW,16400000.0,2017.0,26.0,PF,76.0,76.0,2471.0,81.0,263.0,191.0,387.0,98.0,501.0,533.0,154.0,106.0,217.0,776.0
69,Tristan Thompson,CLE,16400000.0,2017.0,25.0,C,78.0,78.0,2336.0,0.0,3.0,262.0,434.0,287.0,429.0,77.0,39.0,84.0,176.0,630.0
70,Reggie Jackson,DET,16000000.0,2017.0,26.0,PG,52.0,50.0,1424.0,66.0,184.0,218.0,493.0,21.0,92.0,270.0,35.0,5.0,129.0,752.0
71,Pau Gasol,SAS,16000000.0,2017.0,36.0,C,64.0,39.0,1627.0,56.0,104.0,247.0,500.0,107.0,394.0,150.0,24.0,70.0,110.0,792.0
72,Tobias Harris,LAC,16000000.0,2017.0,24.0,PF,82.0,48.0,2567.0,109.0,314.0,402.0,749.0,63.0,353.0,142.0,60.0,39.0,133.0,1321.0
73,Dwyane Wade,CHI,15550000.0,2017.0,35.0,SG,60.0,59.0,1792.0,45.0,145.0,369.0,810.0,64.0,207.0,229.0,86.0,41.0,112.0,1096.0
74,Dennis Schroder,ATL,15500000.0,2017.0,23.0,PG,79.0,78.0,2485.0,100.0,294.0,448.0,921.0,42.0,206.0,499.0,74.0,16.0,149.0,1414.0
75,Jonas Valanciunas,TOR,15460675.0,2017.0,24.0,C,80.0,80.0,2066.0,1.0,2.0,390.0,700.0,226.0,533.0,57.0,37.0,63.0,216.0,959.0
76,Tony Parker,SAS,15453126.0,2017.0,34.0,PG,63.0,63.0,1587.0,23.0,69.0,242.0,500.0,9.0,104.0,285.0,33.0,2.0,92.0,638.0
77,Timofey Mozgov,BRK,15280000.0,2017.0,30.0,C,54.0,52.0,1104.0,0.0,1.0,169.0,327.0,104.0,160.0,43.0,16.0,31.0,133.0,401.0
